Quarter,City,HPI@Assessment Prices,HPI_Lag1,Repo_Rate,Repo_Rate_Lag1,CPI_Inflation,M3_Growth,GDP_Growth
Jun--2013,Ahmedabad,91,,7.333333333,,107.3333333,9.22,7.34
Sep--2013,Ahmedabad,91,91,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Ahmedabad,90,91,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Ahmedabad,89,90,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Ahmedabad,89,89,8,8,115.5666667,10.79333333,8.70
Sep--2014,Ahmedabad,88,89,8,8,119.3333333,12.56333333,5.92
Dec--2014,Ahmedabad,89,88,8,8,118.8333333,11.27,7.11
Mar--2015,Ahmedabad,89,89,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Ahmedabad,89,89,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Ahmedabad,90,89,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Ahmedabad,90,90,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Ahmedabad,90,90,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Ahmedabad,90,90,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Ahmedabad,91,90,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Ahmedabad,91,91,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Ahmedabad,93,91,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Ahmedabad,93,93,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Ahmedabad,94,93,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Ahmedabad,97,94,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Ahmedabad,100,97,6,6,134.0333333,9.816666667,7.50
JUN--2018,Ahmedabad,105,100,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Ahmedabad,110,105,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Ahmedabad,114,110,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Ahmedabad,117,114,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Ahmedabad,121,117,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Ahmedabad,127,121,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Ahmedabad,133,127,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Ahmedabad,137,133,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Ahmedabad,141,137,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Ahmedabad,143,141,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Ahmedabad,147,143,4,4,156.5333333,12.15666667,3.29
Mar-21,Ahmedabad,152,147,4,4,156.4,12.37,22.63
Jun-21,Ahmedabad,156,152,4,4,159.3,10.7,9.87
Sep-21,Ahmedabad,161,156,4,4,162.1,9.59,5.53
Dec-21,Ahmedabad,165,161,4,4,165.1333333,10.19666667,4.45
Mar-22,Ahmedabad,173,165,4,4,165.6666667,8.633333333,13.49
Jun-22,Ahmedabad,177.12,173,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Ahmedabad,183.34,177.12,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Ahmedabad,188.78,183.34,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Ahmedabad,191.68,188.78,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Ahmedabad,193.18,191.68,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Ahmedabad,194.57,193.18,6.5,6.5,183.8,11.21,9.51
Dec-23,Ahmedabad,197.59,194.57,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Ahmedabad,202.95,197.59,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Ahmedabad,205.49,202.95,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Ahmedabad,210.03,205.49,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Ahmedabad,212.66,210.03,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Ahmedabad,215.24,212.66,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Ahmedabad,219.48,215.24,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Ahmedabad,222.53,219.48,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Bengaluru,76,222.53,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Bengaluru,77,76,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Bengaluru,78,77,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Bengaluru,79,78,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Bengaluru,80,79,8,8,115.5666667,10.79333333,8.70
Sep--2014,Bengaluru,81,80,8,8,119.3333333,12.56333333,5.92
Dec--2014,Bengaluru,83,81,8,8,118.8333333,11.27,7.11
Mar--2015,Bengaluru,85,83,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Bengaluru,86,85,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Bengaluru,88,86,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Bengaluru,90,88,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Bengaluru,92,90,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Bengaluru,95,92,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Bengaluru,98,95,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Bengaluru,100,98,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Bengaluru,102,100,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Bengaluru,100,102,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Bengaluru,97,100,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Bengaluru,99,97,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Bengaluru,99,99,6,6,134.0333333,9.816666667,7.50
JUN--2018,Bengaluru,102,99,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Bengaluru,107,102,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Bengaluru,109,107,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Bengaluru,111,109,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Bengaluru,113,111,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Bengaluru,117,113,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Bengaluru,118,117,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Bengaluru,117,118,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Bengaluru,116,117,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Bengaluru,116,116,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Bengaluru,116,116,4,4,156.5333333,12.15666667,3.29
Mar-21,Bengaluru,118,116,4,4,156.4,12.37,22.63
Jun-21,Bengaluru,119,118,4,4,159.3,10.7,9.87
Sep-21,Bengaluru,119,119,4,4,162.1,9.59,5.53
Dec-21,Bengaluru,120,119,4,4,165.1333333,10.19666667,4.45
Mar-22,Bengaluru,121,120,4,4,165.6666667,8.633333333,13.49
Jun-22,Bengaluru,123.2,121,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Bengaluru,126.12,123.2,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Bengaluru,129.56,126.12,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Bengaluru,132.32,129.56,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Bengaluru,133.93,132.32,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Bengaluru,136.44,133.93,6.5,6.5,183.8,11.21,9.51
Dec-23,Bengaluru,138.72,136.44,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Bengaluru,143.09,138.72,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Bengaluru,148.13,143.09,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Bengaluru,151.64,148.13,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Bengaluru,156.05,151.64,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Bengaluru,161.84,156.05,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Bengaluru,161.6,161.84,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Bengaluru,168.8,161.6,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Bhopal,90,168.8,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Bhopal,92,90,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Bhopal,93,92,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Bhopal,95,93,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Bhopal,95,95,8,8,115.5666667,10.79333333,8.70
Sep--2014,Bhopal,95,95,8,8,119.3333333,12.56333333,5.92
Dec--2014,Bhopal,94,95,8,8,118.8333333,11.27,7.11
Mar--2015,Bhopal,94,94,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Bhopal,95,94,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Bhopal,94,95,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Bhopal,97,94,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Bhopal,97,97,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Bhopal,97,97,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Bhopal,98,97,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Bhopal,97,98,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Bhopal,97,97,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Bhopal,99,97,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Bhopal,98,99,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Bhopal,98,98,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Bhopal,101,98,6,6,134.0333333,9.816666667,7.50
JUN--2018,Bhopal,101,101,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Bhopal,103,101,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Bhopal,104,103,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Bhopal,102,104,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Bhopal,101,102,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Bhopal,102,101,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Bhopal,104,102,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Bhopal,107,104,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Bhopal,109,107,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Bhopal,109,109,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Bhopal,108,109,4,4,156.5333333,12.15666667,3.29
Mar-21,Bhopal,105,108,4,4,156.4,12.37,22.63
Jun-21,Bhopal,104,105,4,4,159.3,10.7,9.87
Sep-21,Bhopal,105,104,4,4,162.1,9.59,5.53
Dec-21,Bhopal,104,105,4,4,165.1333333,10.19666667,4.45
Mar-22,Bhopal,107,104,4,4,165.6666667,8.633333333,13.49
Jun-22,Bhopal,107.32,107,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Bhopal,108.81,107.32,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Bhopal,111.52,108.81,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Bhopal,111.93,111.52,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Bhopal,111.42,111.93,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Bhopal,110.49,111.42,6.5,6.5,183.8,11.21,9.51
Dec-23,Bhopal,109.72,110.49,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Bhopal,113.07,109.72,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Bhopal,116.96,113.07,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Bhopal,120.67,116.96,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Bhopal,125.25,120.67,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Bhopal,126.96,125.25,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Bhopal,127.27,126.96,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Bhopal,126.03,127.27,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Chennai,78,126.03,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Chennai,79,78,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Chennai,80,79,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Chennai,82,80,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Chennai,83,82,8,8,115.5666667,10.79333333,8.70
Sep--2014,Chennai,84,83,8,8,119.3333333,12.56333333,5.92
Dec--2014,Chennai,84,84,8,8,118.8333333,11.27,7.11
Mar--2015,Chennai,85,84,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Chennai,87,85,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Chennai,89,87,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Chennai,91,89,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Chennai,92,91,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Chennai,94,92,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Chennai,96,94,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Chennai,99,96,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Chennai,102,99,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Chennai,101,102,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Chennai,100,101,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Chennai,101,100,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Chennai,100,101,6,6,134.0333333,9.816666667,7.50
JUN--2018,Chennai,101,100,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Chennai,101,101,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Chennai,102,101,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Chennai,103,102,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Chennai,104,103,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Chennai,105,104,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Chennai,105,105,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Chennai,104,105,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Chennai,104,104,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Chennai,103,104,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Chennai,102,103,4,4,156.5333333,12.15666667,3.29
Mar-21,Chennai,104,102,4,4,156.4,12.37,22.63
Jun-21,Chennai,104,104,4,4,159.3,10.7,9.87
Sep-21,Chennai,106,104,4,4,162.1,9.59,5.53
Dec-21,Chennai,109,106,4,4,165.1333333,10.19666667,4.45
Mar-22,Chennai,112,109,4,4,165.6666667,8.633333333,13.49
Jun-22,Chennai,116.98,112,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Chennai,118.31,116.98,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Chennai,118.49,118.31,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Chennai,119.58,118.49,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Chennai,118.26,119.58,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Chennai,120.42,118.26,6.5,6.5,183.8,11.21,9.51
Dec-23,Chennai,123.04,120.42,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Chennai,125.64,123.04,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Chennai,129.57,125.64,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Chennai,131.79,129.57,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Chennai,134.34,131.79,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Chennai,136.96,134.34,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Chennai,138.64,136.96,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Chennai,140.6,138.64,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Delhi,103,140.6,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Delhi,108,103,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Delhi,110,108,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Delhi,109,110,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Delhi,107,109,8,8,115.5666667,10.79333333,8.70
Sep--2014,Delhi,107,107,8,8,119.3333333,12.56333333,5.92
Dec--2014,Delhi,100,107,8,8,118.8333333,11.27,7.11
Mar--2015,Delhi,92,100,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Delhi,87,92,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Delhi,85,87,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Delhi,86,85,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Delhi,89,86,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Delhi,96,89,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Delhi,98,96,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Delhi,102,98,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Delhi,105,102,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Delhi,104,105,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Delhi,101,104,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Delhi,100,101,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Delhi,100,100,6,6,134.0333333,9.816666667,7.50
JUN--2018,Delhi,99,100,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Delhi,99,99,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Delhi,98,99,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Delhi,98,98,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Delhi,96,98,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Delhi,96,96,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Delhi,92,96,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Delhi,91,92,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Delhi,92,91,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Delhi,92,92,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Delhi,91,92,4,4,156.5333333,12.15666667,3.29
Mar-21,Delhi,95,91,4,4,156.4,12.37,22.63
Jun-21,Delhi,93,95,4,4,159.3,10.7,9.87
Sep-21,Delhi,94,93,4,4,162.1,9.59,5.53
Dec-21,Delhi,98,94,4,4,165.1333333,10.19666667,4.45
Mar-22,Delhi,98,98,4,4,165.6666667,8.633333333,13.49
Jun-22,Delhi,100.33,98,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Delhi,100.27,100.33,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Delhi,99.79,100.27,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Delhi,99.67,99.79,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Delhi,100.8,99.67,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Delhi,102.08,100.8,6.5,6.5,183.8,11.21,9.51
Dec-23,Delhi,102.57,102.08,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Delhi,101.37,102.57,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Delhi,102.34,101.37,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Delhi,102.5,102.34,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Delhi,102.96,102.5,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Delhi,104.29,102.96,6.333333333,6.5,190.2,9.45,7.81
